category,description
covid,The online retail sector is busier than ever since the outbreak of #covid19. Here are 10 easy steps for improving yü?? https://t.co/XJZTYZRG0F
covid,You really dont wanna miss this  #BBNaijia2020  #alreadyvideo  #RihannaXTiwa  #ObasekiFlagsOffToday  #COVID19ü?? https://t.co/H30PqT5hl3
covid,The speed of the spread of #coronavirus is unprecedented and is due to the subtle black energy of the?ònegative enerü?? https://t.co/FsD76FdZWs
covid,Are retail stores really limiting their hours for deep cleaning or to limit wages? #COVID19
covid,The relief that temporarily allowed students to stop making their payment is set to expire on September 30th. Thisü?? https://t.co/CV1NGghdnF
covid,"RSS Meet Discusses Bhoomi Pujan of Ram Temple, India-China Stand-Off and Other Issues Amid COVID-19 Crisis: Sourcesü?? https://t.co/DOeupKhsdZ"
covid,"#AndhraPradesh #COVID19 @ArogyaAndhra Andhra Pradesh  25/07/2020   New positive cases 7,813 New discharges 3,320 Neü?? https://t.co/LN6gBe1Kfj"
covid,"In this #safety-first world, brands that offer customer experiences ensuring well-being and convenience set themselü?? https://t.co/v1YVwj0NZr"
covid,This weekend's #Leadership reading https://t.co/ouV0E5Om5S  #Workplace #COVID19 #future https://t.co/gHLR2zq1Bw
covid,#UAE has started inviting #volunteers for the world's first Phase III #COVID19 #vaccine clinical trials. Here's howü?? https://t.co/dJcruoRDOf
covid,"I miss them. But this is my duty.  This is the story of Noman Saghir, a doting father, a lab technician and one oü?? https://t.co/5jl7vSdPLQ"
covid,"@standardnews I see @BorisJohnson and the @Conservatives world beating Test, Track &amp; Trace system for #COVID19, whiü?? https://t.co/ZWj1IRmTvw"
covid,Surely you have carried out the correct risk assessments to allow the children to play football again? Also why areü?? https://t.co/Jmv9sOxdOY
covid,"#COVID19 business decision. He is using his medical career to make the decision, not the @NFL $$$$. https://t.co/VZnt3TpQ9S"
covid,How #COVID19 Causes Smell Loss - Neuroscience News https://t.co/OG0gIhyctD
covid,@realDonaldTrump Let the #COVID19 flow
covid,Amazing how @nedbanksport is using the @OfficialPSL partnership during this #COVID19 period to provide knowledge anü?? https://t.co/fJp2P6M6S9
covid,Voting for Trump. He isnü??t backtracking on his views of #COVID19 because he cares about you. Heü??s doing it to get mü?? https://t.co/NSegDA8Z3W
covid,"Revovered corona B+ve plasma donor who is interested to donate plasma, DM urgently required #kashmir #srinagar #COVID19"
covid,"Due to overflow of Hospital capacity with #COVID19 patients in Starr County/ Texas, a committee will deem which patü?? https://t.co/7jizObIQnJ"
covid,Mamaü??s of Corona third generation owner Irene DeBenedittis is encouraging her workers to treat their customers ü??likü?? https://t.co/SzusE9ar1E
covid,"'Many US institutions of HE are forging ahead with on-campus, in-person classes + activities for fall terms, makingü?? https://t.co/7an9s88MUt"
covid,#KAGA #MAGA PLEASE!   #Covid19 kills. ????Don't fall for the lie a vaccine would be on the way???? ü???? Ask what happens meü?? https://t.co/YhyOMHXqVz
covid,Does anyone know if the Dutch government will still legally mandate parents to send their children to school this cü?? https://t.co/HRr3aGEanD
covid,"#COVID19 in #AndhraPradesh:  -7,813 new cases -52 more deaths -53,681 more samples tested -3,208 more discharged -Eü?? https://t.co/PYEfG2WKcN"
covid,"Help slow the spread of #COVID19 and identify at risk cases sooner by self-reporting your symptoms daily, even if yü?? https://t.co/XpfOQ7WCQ4"
covid,"https://t.co/Si1oSX9not   Compared with the rest of the California labor force, Asian Americans with a high schoolü?? https://t.co/o9YmtOVzB6"
covid,"2021 Australian Open: Smaller crowds, player bio-security  #AusOpen #AustralianOpen2021 #Coronavirus #COVID19  https://t.co/pzOJvjd2DQ"
covid,Being #obese or excessively overweight increases the risk of severe illness and death from the novel #coronavirus.ü?? https://t.co/cqOVYyWZb2
covid,#AnimsXavi Much strength to you idolo. #COVID19 https://t.co/OkzMOevfPp
covid,"Guys, so where the party at? COVID, COVID, or COVID ? #isthisserious #Gambia #COVID19 @salieutaal @farageloubnaü?? https://t.co/nGYNINlWyi"
covid,How is this okay but I canü??t visit my granny in a nursing home? Not even an out doors visit... #COVID19 https://t.co/y3kbnOTQdM
covid,"Inline with UK's goals towards promoting quality mentorship opportunities for young persons in ???????¶, @OnaboluYvonne wü?? https://t.co/sSuj8UWWXA"
covid,"Our face covering policy was created under the guidance of our on-staff corporate medical team, public health officü?? https://t.co/8dArlgrvyQ"
covid,"Can You Get #Covid19 Again? Itü??s Very Unlikely, Experts Say https://t.co/AWlwCgU5EI And if so, what's the problem,ü?? https://t.co/BX9aP4M6Gh"
covid,Summer 2020 Garden party Covid time #Summer2020 #COVID19 #Weather #gardenparty https://t.co/yu1E5Fb0ku
covid,@stayingupszn When did I ask? #COVID19 #katiehopkins #LUFC
covid,@Bill_Maxwell_ Yes. And to vote out any member of the @GOP Six months later and they did nothing about #COVID19 #VoteBlueToEndThisNightmare
covid,Wear a Mask!  Stay safe and keep others safe!  #covid19 #besafe  #peraktbg #abstraxmax  #puma #pumaoneü?? https://t.co/hVkiYAQp1l
covid,. @PawanKalyan about resuming movie shootings in his latest interview. #Covid19 #Janasena #Powerstar #VakeelSaab https://t.co/XzOA6UJWZp
covid,@realDonaldTrump #trumpdeathtoll147K 4.2 Million cases of #COVID19 Millions unemployed! #TrumpVirusCatastropheü?? https://t.co/a7a0J9w5de
covid,"Help slow the spread of #COVID19 and identify at risk cases sooner by self-reporting your symptoms daily, even if yü?? https://t.co/i3gCMhxaFT"
covid,"I know no one could have foreseen #COVID19 , but the #UK would have been in a far better position if it were not loü?? https://t.co/ep0MMX7XMH"
covid,Yesterday #leftyTossers attacking #Boris for pointing out that obesity has a very negative effect on victims who arü?? https://t.co/Pu1aiTKD9B
covid,Wit d econs meltdown  bcos of #COVID19 . Wit d battered state of d purchasing power of d citizens. Wt d rising poveü?? https://t.co/PI4q8PI0uY
covid,"Yestwrday, a friendü??s brother died in Zimbabwe ???????™, they called an ambulance at 2pm, it came at 8pm! #COVID19"
covid,"#AhmedabadRain  Finally, It looks like rainy season has started now ???, May it doesnü??t brings hike in #covid19 infecü?? https://t.co/AceCeHERRk"
covid,"Children are affected, infected and dying in Florida from Covid19. #ReopenSafely #ReopeningSchools #health #covid19ü?? https://t.co/3XZPMne57z"
covid,History will not only account for the dead but also the wicked @GovRonDeSantis #COVID19 https://t.co/90MsXwkUss
covid,"Ants may be pesky creatures, but it turns out we could learn a thing or two from them. @SophNaama writes about whatü?? https://t.co/FzUG1KFhJL"
covid,"This government was too slow to act, and even they now admit that. They followed and did not lead! It's very hard fü?? https://t.co/0ZlVcPpKkb"
covid,My observations after day 1 of mandatory face masks...I'm seeing a lot of chin masks and people walking around wiü?? https://t.co/jWdczSjAND
covid,Delhi #COVID19 Update Jul 25  New Cases 1142 Total 129531 July 43452 (33.54% of total)  Deaths 29 Total 3806  Dischü?? https://t.co/62jsJh8TWH
covid,Congratulations to Jeff Bezos  The UK government has managed to make  shopping on the high street even less appealiü?? https://t.co/yGfUeXqVDH
covid,"Catalonia Spain reports 1,493 new #coronavirus cases #COVID19 ????????"
covid,If you donü??t have a mask.......just ask! We will provide one AND ask for a contribution to the West Midlands Air Amü?? https://t.co/rOTjxSvbT0
covid,ALERT: Pregnant women at risk of death in Kenya's COVID-19 curfew - Global Pandemic News | #Coronavirus #COVID19ü?? https://t.co/MIklFXCtvj
covid,#COVID19 #COVID??™19 #coronavirus #BlackLivesMatter #satchat #ptech #weareptech https://t.co/2tCw7OEqpV An open dialoü?? https://t.co/CdQNTeh7D1
covid,Check us out on Spotify as well  ??????????????????????????????????? https://t.co/v2XKBfaTfj  #GospelHouse ???????????????? #GodGotThis ü??????????????ü?? https://t.co/oeIUQVc6gR
covid,could double as a #COVID19 vaccine delivery mechanism @BorisJohnson  @MattHancock @pritipatel https://t.co/hM83eKV2LF
covid,"Help slow the spread of #COVID19 and identify at risk cases sooner by self-reporting your symptoms daily, even if yü?? https://t.co/KSyVttdgqo"
covid,@OpIndia_com #how #heir @joker @laluprasadrjd @yadavtejashwi #have #little #knowledge @mygovindia @who #thinksü?? https://t.co/9GyojXmCS7
covid,Sign the Alert to Stop Deadly Mass Killing of #Animals in #University Labs Due to #COVID19 https://t.co/tzaxAeeS14
covid,"@jennfranconews @realDonaldTrump Each of you should look not only to your own interests, but also to the interestsü?? https://t.co/g3bYHLyXd4"
covid,The latest Islam and Islamism! https://t.co/1Gx3WUOc9r #berkleyforum #covid19
covid,#Hope #USA #Trump vilifying #USPS &amp; #Amazon while (Republicans own premium stock) catering to them by #Postmaster wü?? https://t.co/wznVS6kWKo
covid,"#AndhraPradesh reports 7,813 new #COVID19 cases on Saturday as the tally goes up to 88,671. The death toll increaseü?? https://t.co/Pk3YJjwX19"
covid,#Coronavirus in #Andorra: There is a total of 52 confirmed deaths from #COVID19.
covid,@fordnation Please don't go in like a bunch of storm troopers ! The migrant workers are afraid of being deported soü?? https://t.co/w0D37rCtza
covid,Wear a face cover or pay ??100 fine. New laws imposed in London #covid19 #London ''. Lol. I Chose to cover it up. https://t.co/AO2qMQ1Vln
covid,"#COVIDUpdates: AP records as many as 7,813 new cases in the last 24 hours taking the tally to 88,671. 52 deaths werü?? https://t.co/doN2jrcaTe"
covid,"Remember when #Drumpf said #TexasIsHeeling?? Well, they're getting screwed several times over today!! Not to mentioü?? https://t.co/B5PLXiC3Gh"
covid,"Ringway, Preston (14th May 2020 and 24th July 2020) I will be releasing another video this weekend from the past coü?? https://t.co/X98cNByTW3"
covid,The statistics in the #pic gives info that #Assam is performing better than #Odisha in their fight against #COVID19ü?? https://t.co/rdrtsDfWyF
covid,"'Not what we should be doing': Few masks, no social distancing at crowded Falls attractions | CBC News https://t.co/TFwjEhdLHI #COVID19"
covid,"If you think Iü??m buying any of these rumours of us being locked down or restricted for up to 2 years, forget it. Itü?? https://t.co/aEQZaqs79U"
covid,@realDonaldTrump Remember the #WorstPresidentInHistory #trumpdeathtoll147K 4.2 Million cases of #COVID19 Millions Uü?? https://t.co/tv0DXaS2nJ
covid,"With increased testing of samples for Covid-19, the fatality rate has significantly dropped to 2.35% on Saturday anü?? https://t.co/48x8cQ6sxA"
covid,CDC changes COVID-19 guidance on how long people need to be isolated https://t.co/LqEQKBBQAN via @nbcnews #COVID19 #theyhavenoidea
covid,???? A plea to #mask wearers to read this as THIS is why many #NoMasks donü??t want to blindly follow ü??govtü? edicts onü?? https://t.co/uQWjZyPQ7j
covid,#MP CM #ShivrajSinghChouhan tested positive for #COVID19 . There's been news that bcoz of him many ministers as welü?? https://t.co/c1ia1QsqXQ
covid,(6) We never rise beyond the level of our knowledge. This is why you must keep acquiring new and helpful informatioü?? https://t.co/Z4EDRcuMTU
covid,Two students tested positive for coronavirus after taking the ACT at an Oklahoma high schoolü?? https://t.co/DRNa3Uq3th
covid,Sending the science deniers home to their fellow MAGATs.  #BlueWave2020 #COVID19 https://t.co/BKMbdjClDk
covid,"Home-made cloth face masks likely need a minimum of two layers, and preferably three, to prevent the dispersal of vü?? https://t.co/PssY9MisDQ"
covid,@Die_Diktatur @FatEmperor @WHO 2009 was just the rehearsal for #COVID19
covid,"#AndhraPradesh   Andhra Pradesh registered single-day spike of 7,813 #COVID19 positive cases &amp; 52 deaths in last 24ü?? https://t.co/2xK87RJYnF"
covid,How well are you dealing with the COVID-19 outbreak? This survey developed by psychologists from around the world pü?? https://t.co/N3l6dIa4O9
covid,The thing about being #LightSkinned is that every bruise on your body can be seen from Mars ???plus the fact that youü?? https://t.co/MwqNMipANn
covid,Actor @VishalKOfficial and his father Mr.G.K.Reddy tested positive for #Covid19 15/20 days back..  While #Vishal 'sü?? https://t.co/yXdPgtkW92
football,For me its #FRA vs #CRO or #BRA vs #CRO Final .. #ESPRUS #CRODEN #WorldCup https://t.co/ro6C0tOoDz
football,Another one on penalties #CRO #DEN #CRODEN #WorldCup
football,RT @ktaha60: A minute of silence for people whoü??re not into football  #CRODEN #WorldCup https://t.co/0MnbaXK8kq
football,RT @Konemoheavy: 5 saved penalties. What a shout out this has been. Croatia deserved the win though. They'll surely give anyone a run for tü??
football,Is it just me or has Davor Suker started to look a bit like Joe Pasquale? #Worldcup
football,RT @Football__Tweet: What a performance from these two. Absolute monsters. ?#WorldCup #CRO #DEN https://t.co/Aji2TlzrY5
football,RT @iamBussmarn: Airport CupPortugal ?? VS ?? ArgentinaGermany ?? VS ?? Spain#WorldCup https://t.co/12d2UHWc2a
football,Slaven Bilic didnü??t look happy with those off camera clips #Croatia #CRODEN #WorldCup
football,RT @FOXSports: Uruguay. France. Russia. Croatia.4 are through to the Quarterfinals of the FIFA #WorldCup. 4 spots remain. https://t.co/TSü??
football,Awesome to see @DejanLovren_ and #croatia through. One helluva  game!#CRO #CRODEN #WorldCup #MMfutis
football,RT @erionveliaj: We wouldnü??t be having this amazing #WorldCup games without migrants #JustSayin ??????????????????#SayNoToRacism https://tü??
football,RT @FIFAWorldCup: Kasper Schmeichel takes the final @Budweiser #ManoftheMatch award of the day ?#CRODEN #WorldCup https://t.co/2XfblBT7ki
football,RT @FIFAWorldCup: Kasper Schmeichel takes the final @Budweiser #ManoftheMatch award of the day ?#CRODEN #WorldCup https://t.co/2XfblBT7ki
football,The VW #WorldCup ads are the worst. My sympathies to any Swiss-Americans especially. https://t.co/0TPJQXHmP6
football,"All my faves are gone, what is even happening? Uhm... go Sweden, I guess? ? #WorldCup"
football,"RT @FCBarcelona: ?? @ivanrakitic scores the winning penalty to send @HNS_CFF into the #WorldCup quarter-finals, where they'll face Russia!ü??"
football,@TokyoLaundry68 ? #COMPETITIONTIME ?#TokyoLaundry68#WorldCup #PoloShirt#Competition#Win? @roshnip77 @ath007 @noblejaneamanda @waterlilydina1 @janwhiteley1 @candcthai @lyndseybruce @val_page @LawaLaura ?Liked and Retweeted
football,RT @FIFAWorldCup: Kasper Schmeichel takes the final @Budweiser #ManoftheMatch award of the day ?#CRODEN #WorldCup https://t.co/2XfblBT7ki
football,"RT @HNS_CFF: ?????? Congratulations to #Croatia, who survives a late penalty drama to reach the @FIFAWorldCup quarterfinals stage!#CRO #Bü??"
football,Awesome #WorldCup games today. Love the emotion durning PK's ??
football,"Iceland, 2014 #Eurovision #CRODEN #WorldCup https://t.co/q38d9GOEqD"
football,RT @TheCristianoFan: So so happy for Modri?. He wouldnü??t be able to live with himself if Denmark had won on penalties after missing that onü??
football,RT @Squawka: Only two goalkeepers have saved three penalties in a #WorldCup penalty shoot-out: 1/7/2006: #POR's Ricardo vs. #ENG 1/7/20ü??
football,RT @Pschmeichel1: Is this a coincidence??? ????? #WorldCup https://t.co/xCzmzFAHPW
football,RT @SpursOfficial: ?? Heartbreak for @ChrisEriksen8 as Denmark exit the #WorldCup after a penalty shootout defeat to Croatia. https://t.co/ü??
football,"RT @itvfootball: Pass, pass, pass but Spain have been pegged back by a moment of Pique madness@SeFutbol 1??-1?? @TeamRussia #ESP #RUS #ü??"
football,#CRO emerge from down under to #LightUpTheWorldCup. #CRODEN #WorldCup https://t.co/etBGu8XUs7
football,"RT @kennymunro: Not now, Nacho. #SPARUS #ESPRUS #WorldCup #worldcup2018 #Worldcup2018Russia https://t.co/GQ6OpDyakG"
football,"Rarely does a player get a chance for penalty-kick-redemption in such short order. Luka Modri? had that rarity, when he stepped up as the third player for #CRO in the shootout, and he made amends. Ivan Rakiti? sealed the win and a place in the #WorldCup quarters. Bonkers day. https://t.co/34zGHFFfeo"
football,RT @Sporf: ??????? @England's route to #WorldCup Final:Round of 16:?? ColombiaQuarter-Finals??Switzerland or ??Sweden Semi-Finals:ü??
football,RT @COPA90US: How it feels getting back to the real world after 240 minutes + PKs of #WorldCup action... https://t.co/KJpzhjX6Ne
football,"RT @FCBarcelona: ?? @ivanrakitic scores the winning penalty to send @HNS_CFF into the #WorldCup quarter-finals, where they'll face Russia!ü??"
football,@kschmeichel1  is a legend.... I'm proud of you. #LikeFatherLikeSon#CRODEN #KFSWorldCup #WorldCup#3Sports
football,What an incredible day in The #WorldCup! Wow. Canü??t wait for Tuesday night now! #ThreeLions @England ???????????
football,Big up?@HNS_CFF#CRO #WorldCup https://t.co/ILa6R4mz5d
football,RT @bhattaraias: France = 12 players (including referee); Argentina 10 players (excluding Armani). You do the math!!! #FRAARG #WorldCup
football,RT @FIFAWorldCup: Kasper Schmeichel takes the final @Budweiser #ManoftheMatch award of the day ?#CRODEN #WorldCup https://t.co/2XfblBT7ki
football,RT @Squawka: #CRO have reached the #WorldCup quarter-finals for the first time since 1998.They went on to reach the semi-finals in that tü??
football,RT @JohnOdedeji: Issa VAR street video #WorldCup Africans Play too much ???? https://t.co/3tOcEYWeVs
football,"RT @FCBarcelona: ?? @ivanrakitic scores the winning penalty to send @HNS_CFF into the #WorldCup quarter-finals, where they'll face Russia!ü??"
football,RT @comradesipho: this sunday wasnü??t meant to be this tense wow #worldcup https://t.co/A5eXVv36qL
football,RT @FirstpostSports: Top class goalkeeping from Daniel #Subasic and Kasper #Schmeichel in the penalty shootout! Both keepers saved three spü??
football,RT @stipemiocic: BOOM! On to the next one! #CRO #WorldCup
football,RT @Kabugo_Shifu: INCREDIBLE... #den thought they had it... till #CRO snatched back  #CRODEN #DENCRO #WorldCup https://t.co/i18R2tROy9
football,"RT @OptaJoe: 1 - Croatia have qualified for their first World Cup quarter-final since 1998, when they went on to finish third in the tournaü??"
football,RT @FIFAWorldCup: Kasper Schmeichel takes the final @Budweiser #ManoftheMatch award of the day ?#CRODEN #WorldCup https://t.co/2XfblBT7ki
football,RT @aba303030: All the negativity surrounding this World Cup in Russia before the start and its turning out to be one of the best in historü??
football,RT @COPA90: The scenes in Zagreb as Rakitic sends #CRO to the quarter finals of the #WorldCup? [? @PavaoBlazer] https://t.co/y8ynMXWVKM
football,RT @Sporf: ??????? @England's route to #WorldCup Final:Round of 16:?? ColombiaQuarter-Finals??Switzerland or ??Sweden Semi-Finals:ü??
football,#COL#ENG#SWE#RUS#CRO#SUIOne of these nations will play in the #WorldCup final two weeks today. https://t.co/kRMmEq4zfr
football,RT @FIFAWorldCup: Kasper Schmeichel takes the final @Budweiser #ManoftheMatch award of the day ?#CRODEN #WorldCup https://t.co/2XfblBT7ki
football,RT @FCBarcelona: ? Free-kick challenge!? @ivanrakitic - ready for the #WorldCup last 16?? #Bar??aWorldCup https://t.co/4rXwWqjLjI
football,RT @Oku_yungx: This world cup made a lot of people rich. I knew it was definitely going to happen. Quite easy to predict !!! #Worldcup
football,"RT @wanna__laugh: Eric Cantona: Spain did not win the Worldcup (in 2010), Catalonia did.Hopefully people will understand it today!#Spaü??"
football,Spain was robbed. #WorldCup
football,RT @OptaJoe: 38 - Sergei Ignashevich is the oldest ever player to score an own goal in a World Cup match (38y 352d). Oops. #ESPRUS #RUS #Woü??
football,"RT @wanna__laugh: Eric Cantona: Spain did not win the Worldcup (in 2010), Catalonia did.Hopefully people will understand it today!#Spaü??"
football,RT @KnoxTainment: Some French Squad Players and their Heritage :Paul Pogba - GuineaSamuel Umtiti - CameroonN'Golo Kante - MaliBlaisü??
football,RT @Squawka: Only two goalkeepers have saved three penalties in a #WorldCup penalty shoot-out: 1/7/2006: #POR's Ricardo vs. #ENG 1/7/20ü??
football,RT @FIFAWorldCup: Kasper Schmeichel takes the final @Budweiser #ManoftheMatch award of the day ?#CRODEN #WorldCup https://t.co/2XfblBT7ki
football,RT @SuperSportTV: WATCH: Ivan Rakitic scored the winning penalty as Croatia beat Denmark 3-2 on penalties to advance to the FIFA #WorldCupü??
football,RT @worldcupstarss: My man of the match#WorldCup#CRODEN https://t.co/s5meT70GNR
football,RT @Pschmeichel1: Is this a coincidence??? ????? #WorldCup https://t.co/xCzmzFAHPW
football,RT @soccermattersGD: #RUS #CRO both advance on penalties. We're talking #WorldCup at @TheGorgeousGael. Call in 713-780-3776 https://t.co/vUü??
football,"RT @FCBarcelona: ?? @ivanrakitic scores the winning penalty to send @HNS_CFF into the #WorldCup quarter-finals, where they'll face Russia!ü??"
football,RT @SPNSportsIndia: What a performance by Kasper Schmeichel though! He probably played the game of his life today for #DEN and is desperateü??
football,"RT @LaureusSport: Kylian Mbapp?? will donate everything he earns with #FRA at the #WorldCup to charity. This will add up to ü?¶20,000 per gameü??"
football,"My three year old at the end of extra time in the #CRODAN match: ü??dudes, nobody wants to see penalties.ü?  ?#worldcup"
football,RT @Sporf: ??????? @England's route to #WorldCup Final:Round of 16:?? ColombiaQuarter-Finals??Switzerland or ??Sweden Semi-Finals:ü??
football,"Total chaos on Petrovka Street, right next to poilce HQ who have put down roadblocks on Petrovka and other central avenues to restrain inebriated drivers who want to celebrate #worldcup https://t.co/ttuBAORArh"
football,RT @SBNation: After two days of the #WorldCup Round of 16: OUT: ? Argentina? Portugal? Spain? DenmarkMoving on: ? France? Uruguayü??
football,RT @OptaJean: 3 - Danijel Subasic is only the 2nd goalkeeper to save 3 penalties in a shootout of a World Cup game after Ricardo ?? v Englaü??
football,RT @SundayLeagueMCR: Only two goalkeepers in history have saved three penalties in a #WorldCup penalty shootout...Ricardo for #POR againsü??
football,RT @Pschmeichel1: Is this a coincidence??? ????? #WorldCup https://t.co/xCzmzFAHPW
football,"RT @RobStoneONFOX: For just the 2nd time in #worldcup history, 2 games in 1 day go to penalties. June 21, 1986 the other, as #FRA &amp; W.Germaü??"
football,RT @FIFAWorldCup: Kasper Schmeichel takes the final @Budweiser #ManoftheMatch award of the day ?#CRODEN #WorldCup https://t.co/2XfblBT7ki
football,RT @FIFAWorldCup: Kasper Schmeichel takes the final @Budweiser #ManoftheMatch award of the day ?#CRODEN #WorldCup https://t.co/2XfblBT7ki
football,"RT @OptaJoe: 1 - Croatia have qualified for their first World Cup quarter-final since 1998, when they went on to finish third in the tournaü??"
football,RT @aVeLoN10: Day of the Goalkeepers #WorldCup #ESPRUS #CRODEN Apart from De Gea off course. ? 8 penalties saved. https://t.co/DB9hSMYlqY
football,"RT @WWECesaro: Insanity... 2 penalty shoot-outs, 6 held penalties in one game?! I wonder what tomorrow has in store #worldcup"
football,RT @Football__Tweet: What a performance from these two. Absolute monsters. ?#WorldCup #CRO #DEN https://t.co/Aji2TlzrY5
football,RT @FIFAWorldCup: Kasper Schmeichel takes the final @Budweiser #ManoftheMatch award of the day ?#CRODEN #WorldCup https://t.co/2XfblBT7ki
football,"So, how much can a missing dimension hide? One of these penalties went in, the other elicited a spectacular save that sent a team into the #WorldCup quarters. https://t.co/EnE72Yf0EP"
football,RT @FIFAWorldCup: Kasper Schmeichel takes the final @Budweiser #ManoftheMatch award of the day ?#CRODEN #WorldCup https://t.co/2XfblBT7ki
football,RT @Football__Tweet: Football is cruel. #WorldCup #DEN https://t.co/rYBBsrm0JE
football,One of these teams will be in the #WorldCup final.  Russia ??  Croatia ??  Sweden ??  Switzerland ??  Colombia ??  England ???????
football,RT @Matt5cott: This World Cup. Even the penalty shootouts are better than anything you've seen before. #CRODEN #WorldCup
football,RT @FIFAWorldCup: Kasper Schmeichel takes the final @Budweiser #ManoftheMatch award of the day ?#CRODEN #WorldCup https://t.co/2XfblBT7ki
football,RT @TrollFootball: The #WorldCup of upsets https://t.co/lY4CU7fWYU
football,RT @SquawkaNews: Cristiano Ronaldo helps Edinson Cavani off the pitch. ?#WorldCup https://t.co/f6jlhgn3XG
football,"RT @kennymunro: Not now, Nacho. #SPARUS #ESPRUS #WorldCup #worldcup2018 #Worldcup2018Russia https://t.co/GQ6OpDyakG"
football,Penalty drama as Croatia beat Denmark in #WorldCuphttps://t.co/Z9Uegacva6 https://t.co/M9I2dHnApD
football,RT @UEFAcomPaoloM: #Croatia have often great teams but usually destroy everything with one poor game. What if their only poor game of the tü??
football,RT @Squawka: Only two goalkeepers have saved three penalties in a #WorldCup penalty shoot-out: 1/7/2006: #POR's Ricardo vs. #ENG 1/7/20ü??
football,RT @JuveBillz: The legendary @vieri_bobo ladies and gentlemen. #WorldCup https://t.co/ZQRNjRiKNs
football,RT @brfootball: A legend says goodbye to the #WorldCup ? https://t.co/9hR5qVfVPX
football,RT @FIFAWorldCup: Kasper Schmeichel takes the final @Budweiser #ManoftheMatch award of the day ?#CRODEN #WorldCup https://t.co/2XfblBT7ki
football,"RT @FCBarcelona: ?? @ivanrakitic scores the winning penalty to send @HNS_CFF into the #WorldCup quarter-finals, where they'll face Russia!ü??"
football,"Have to say Subasicü??s approach to the penalties was excellent. He stayed patient, picked his side, kept his ground to the last moment, and went with the power step each time. He didnü??t mess about one bit.W/o the power step he never makes the first save on Eriksen #CRO #WorldCup https://t.co/UUYy5RL7uv"
football,"RT @karan_tejwani26: Not going to lie, that was worth waiting 120 minutes for. Felt the emotion - mustü??ve been killing the actual natives oü??"
football,"Now that #WorldCup is over for today, time to catch up with the #FirstCitizensCup Group I game at the Hasely Crawford Stadium.Its HT @Jablotehtt 0-2 @StAnnsRangersFC Rangers scoring 2 ?? in quick succession before the end of the half.@TTProLeague"
football,RT @OptaJohan: 5 - Croatia - Denmark is the first penalty shoot-out with five penalties saved by the goalkeeper in #WorldCup history. Heroeü??
football,"RT @Bosslogic: So close, yet so far... #WorldCup #Cristiano #Ronaldo #Messi https://t.co/OMLo4C8hmd"
football,RT @FIFAWorldCup: Kasper Schmeichel takes the final @Budweiser #ManoftheMatch award of the day ?#CRODEN #WorldCup https://t.co/2XfblBT7ki
football,I really enjoyed watching #Schmeichel play! Best hair &amp; most handsome man I've seen on the field?? #WorldCup  #CRODEN
football,"RT @colinmcenroe: Denmark out. Sweden still in, with added advantage because Russia ordered the goals from IKEA. #WorldCup"
football,"RT @FCBarcelona: ?? @ivanrakitic scores the winning penalty to send @HNS_CFF into the #WorldCup quarter-finals, where they'll face Russia!ü??"
football,RT @Sporf: ?? Kasper Schmeichel vs Croatia:? Saves penalty in Extra Time? Saves 2 penalties in shootout.? Still knocked out of the #Wü??
football,RT @FIFAWorldCup: Kasper Schmeichel takes the final @Budweiser #ManoftheMatch award of the day ?#CRODEN #WorldCup https://t.co/2XfblBT7ki
football,"RT @FCBarcelona: ?? @ivanrakitic scores the winning penalty to send @HNS_CFF into the #WorldCup quarter-finals, where they'll face Russia!ü??"
football,RT @FIFAWorldCup: Kasper Schmeichel takes the final @Budweiser #ManoftheMatch award of the day ?#CRODEN #WorldCup https://t.co/2XfblBT7ki
football,RT @FOXSports: Uruguay. France. Russia. Croatia.4 are through to the Quarterfinals of the FIFA #WorldCup. 4 spots remain. https://t.co/TSü??
football,RT @barstoolsports: Game. Croatia. #WorldCup https://t.co/O8XGrvFfrP
football,"RT @OptaJoe: 1 - Croatia have qualified for their first World Cup quarter-final since 1998, when they went on to finish third in the tournaü??"
football,"RT @OptaJoe: 2 - Russia are the first team to score multiple own goals in a World Cup tournament since 1966, when Bulgaria conceded two. Saü??"
football,"RT @NCFCreport: What a performance from @kschmeichel1, 3 penalty saves in 1 game, very unfortunate not to progress the next round. #DENCROü??"
football,RT @haveigotnews: Russia secure most unexpected victory since 2016.#WorldCup https://t.co/V29ZBwYyz9
football,RT @FIFAWorldCup: Kasper Schmeichel takes the final @Budweiser #ManoftheMatch award of the day ?#CRODEN #WorldCup https://t.co/2XfblBT7ki
football,RT @BleacherReport: RUSSIA BEATS SPAIN ON PENALTIES! Spain are out of the #WorldCup! https://t.co/sOPZ9T5lpT
football,RT @BBCSport: Two of the four #WorldCup quarter finals have been decided...6th July:3pm: #FRA v #URU 7th July: 7pm: #RUS v #CROStilü??
football,"RT @TheCristianoFan: FIFA have VAR and 4 referees on the pitch, but GKs always come off their line before the penalty taker kicks the ballü??"
football,RT @Football__Tweet: What a performance from these two. Absolute monsters. ?#WorldCup #CRO #DEN https://t.co/Aji2TlzrY5
football,RT @Pschmeichel1: Is this a coincidence??? ????? #WorldCup https://t.co/xCzmzFAHPW
football,"RT @iamscholes: Kovacic dislocates his shoulder, pops it back in and plays on. Salah dislocates his shoulder, takes weeks off and doesn't aü??"
